X: 0 | Z: 0
X: 0.617188 | Z: 0.00390625
X: 0.621094 | Z: 0.00390625
X: 0.625 | Z: 0.00390625
X: 0.628906 | Z: 0.00390625
X: 0.632813 | Z: 0.00390625
X: 0.636719 | Z: 0.00390625
X: 0.640625 | Z: 0.00390625
X: 0.644531 | Z: 0.00390625
X: 0.648438 | Z: 0.00390625
X: 0.652344 | Z: 0.00390625
X: 0.65625 | Z: 0.00390625
X: 0.660156 | Z: 0.00390625
X: 0.664063 | Z: 0.00390625
X: 0.667969 | Z: 0.00390625
X: 0.671875 | Z: 0.00390625
X: 0.675781 | Z: 0.00390625
X: 0.679688 | Z: 0.00390625
X: 0.683594 | Z: 0.00390625
X: 0.6875 | Z: 0.00390625
X: 0.691406 | Z: 0.00390625
X: 0.695313 | Z: 0.00390625
X: 0.699219 | Z: 0.00390625
X: 0.703125 | Z: 0.00390625
X: 0.707031 | Z: 0.00390625
X: 0.710938 | Z: 0.00390625
X: 0.714844 | Z: 0.00390625
X: 0.71875 | Z: 0.00390625
X: 0.722656 | Z: 0.00390625
X: 0.726563 | Z: 0.00390625
X: 0.730469 | Z: 0.00390625
X: 0.734375 | Z: 0.00390625
X: 0.738281 | Z: 0.00390625
X: 0.742188 | Z: 0.00390625
X: 0.746094 | Z: 0.00390625
X: 0.75 | Z: 0.00390625
X: 0.753906 | Z: 0.00390625
X: 0.757813 | Z: 0.00390625
X: 0.761719 | Z: 0.00390625
X: 0.765625 | Z: 0.00390625
X: 0.769531 | Z: 0.00390625
X: 0.773438 | Z: 0.00390625
X: 0.777344 | Z: 0.00390625
X: 0.78125 | Z: 0.00390625
X: 0.785156 | Z: 0.00390625
X: 0.789063 | Z: 0.00390625
X: 0.792969 | Z: 0.00390625
X: 0.796875 | Z: 0.00390625
X: 0.800781 | Z: 0.00390625
X: 0.804688 | Z: 0.00390625
X: 0.808594 | Z: 0.00390625
X: 0.8125 | Z: 0.00390625
X: 0.816406 | Z: 0.00390625
X: 0.820313 | Z: 0.00390625
X: 0.824219 | Z: 0.00390625
X: 0.828125 | Z: 0.00390625
X: 0.832031 | Z: 0.00390625
X: 0.835938 | Z: 0.00390625
X: 0.839844 | Z: 0.00390625
X: 0.84375 | Z: 0.00390625
X: 0.847656 | Z: 0.00390625
